id,question,correct_answer,choice_1,choice_2,choice_3,difficulty,Knowledge Category,Topic Focus
58,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,1,Literature,Authors & Literature
59,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
60,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
61,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
62,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
63,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
64,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
65,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
66,What is the largest known prime number (as of 2023)?,"2^82,589,933 - 1","2^77,232,917 - 1","2^43,112,609 - 1","2^57,885,161 - 1",2,Mathematics,Arithmetic
67,What is the half-life of carbon-14?,"5,730 years","1,000 years","10,000 years","50,000 years",2,Mathematics,Arithmetic
68,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
69,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
70,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
71,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
72,What is 2 + 2?,4,3,5,6,0,Mathematics,Arithmetic
73,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
74,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
75,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
76,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
77,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
78,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
79,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
80,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
81,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1,Literature,Authors & Literature
82,What is the square root of 64?,8,6,10,12,1,Mathematics,Arithmetic
83,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
84,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
85,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
86,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
87,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
88,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,1,Literature,Authors & Literature
89,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
90,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
91,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
92,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
93,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
94,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
95,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
96,What is the largest known prime number (as of 2023)?,"2^82,589,933 - 1","2^77,232,917 - 1","2^43,112,609 - 1","2^57,885,161 - 1",2,Mathematics,Arithmetic
97,What is the half-life of carbon-14?,"5,730 years","1,000 years","10,000 years","50,000 years",2,Mathematics,Arithmetic
98,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
99,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
100,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
101,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
102,What is 2 + 2?,4,3,5,6,0,Mathematics,Arithmetic
103,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
104,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
105,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
106,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
107,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
108,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
109,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
110,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
111,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1,Literature,Authors & Literature
112,What is the square root of 64?,8,6,10,12,1,Mathematics,Arithmetic
113,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
114,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
115,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
116,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
117,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
118,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,1,Literature,Authors & Literature
119,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
120,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
121,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
122,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
123,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
124,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
125,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
126,What is the largest known prime number (as of 2023)?,"2^82,589,933 - 1","2^77,232,917 - 1","2^43,112,609 - 1","2^57,885,161 - 1",2,Mathematics,Arithmetic
127,What is the half-life of carbon-14?,"5,730 years","1,000 years","10,000 years","50,000 years",2,Mathematics,Arithmetic
128,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
129,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
130,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
131,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
132,What is 2 + 2?,4,3,5,6,0,Mathematics,Arithmetic
133,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
134,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
135,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
136,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
137,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
138,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
139,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
140,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
141,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1,Literature,Authors & Literature
142,What is the square root of 64?,8,6,10,12,1,Mathematics,Arithmetic
143,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
144,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
145,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
146,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
147,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
148,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,1,Literature,Authors & Literature
149,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
150,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
151,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
152,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
153,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
154,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
155,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
156,What is the largest known prime number (as of 2023)?,"2^82,589,933 - 1","2^77,232,917 - 1","2^43,112,609 - 1","2^57,885,161 - 1",2,Mathematics,Arithmetic
157,What is the half-life of carbon-14?,"5,730 years","1,000 years","10,000 years","50,000 years",2,Mathematics,Arithmetic
158,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
159,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
160,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
161,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
162,What is 2 + 2?,4,3,5,6,0,Mathematics,Arithmetic
163,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
164,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
165,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
166,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
167,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
168,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
169,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
170,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
171,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1,Literature,Authors & Literature
172,What is the square root of 64?,8,6,10,12,1,Mathematics,Arithmetic
173,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
174,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
175,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
176,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
177,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
178,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,1,Literature,Authors & Literature
179,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
180,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
181,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
182,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
183,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
184,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
185,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
186,What is the largest known prime number (as of 2023)?,"2^82,589,933 - 1","2^77,232,917 - 1","2^43,112,609 - 1","2^57,885,161 - 1",2,Mathematics,Arithmetic
187,What is the half-life of carbon-14?,"5,730 years","1,000 years","10,000 years","50,000 years",2,Mathematics,Arithmetic
188,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
189,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
190,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
191,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
192,What is 2 + 2?,4,3,5,6,0,Mathematics,Arithmetic
193,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
194,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
195,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
196,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
197,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
198,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
199,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
200,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
201,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1,Literature,Authors & Literature
202,What is the square root of 64?,8,6,10,12,1,Mathematics,Arithmetic
203,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
204,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
205,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
206,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
207,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
208,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,1,Literature,Authors & Literature
209,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
210,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
211,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
212,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
213,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
214,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
215,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
216,What is the largest known prime number (as of 2023)?,"2^82,589,933 - 1","2^77,232,917 - 1","2^43,112,609 - 1","2^57,885,161 - 1",2,Mathematics,Arithmetic
217,What is the half-life of carbon-14?,"5,730 years","1,000 years","10,000 years","50,000 years",2,Mathematics,Arithmetic
218,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
219,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
220,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
221,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
222,What is 2 + 2?,4,3,5,6,0,Mathematics,Arithmetic
223,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
224,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
225,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
226,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
227,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
228,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
229,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
230,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
231,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1,Literature,Authors & Literature
232,What is the square root of 64?,8,6,10,12,1,Mathematics,Arithmetic
233,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
234,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
235,What is the smallest prime number?,2,1,3,0,1,General Knowledge,Miscellaneous
236,What is the capital of Brazil?,Brasília,Rio de Janeiro,São Paulo,Salvador,1,Geography,Capital Cities
237,What is the boiling point of water in Celsius?,100°C,0°C,50°C,200°C,1,General Knowledge,Miscellaneous
238,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,1,Literature,Authors & Literature
239,What is the atomic number of carbon?,6,12,8,14,1,General Knowledge,Miscellaneous
240,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,1,Astronomy,Planets
241,What is the speed of light?,"299,792,458 m/s","300,000,000 m/s","199,792,458 m/s","250,000,000 m/s",2,General Knowledge,Miscellaneous
242,What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,2,General Knowledge,Miscellaneous
243,Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Joseph Lister,2,General Knowledge,Miscellaneous
244,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
245,In what year did the French Revolution begin?,1789,1776,1804,1815,2,General Knowledge,Miscellaneous
246,What is the largest known prime number (as of 2023)?,"2^82,589,933 - 1","2^77,232,917 - 1","2^43,112,609 - 1","2^57,885,161 - 1",2,Mathematics,Arithmetic
247,What is the half-life of carbon-14?,"5,730 years","1,000 years","10,000 years","50,000 years",2,Mathematics,Arithmetic
248,Who proposed the heliocentric model of the solar system?,Nicolaus Copernicus,Galileo Galilei,Johannes Kepler,Tycho Brahe,2,Astronomy,Planets
249,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,2,General Knowledge,Miscellaneous
250,What is the Goldbach Conjecture?,Every even integer greater than 2 can be expressed as the sum of two primes,There are infinitely many prime numbers,There is no largest prime number,Every odd number is the sum of three primes,2,General Knowledge,Miscellaneous
251,What is the capital of France?,Paris,London,Berlin,Madrid,0,Geography,Capital Cities
252,What is 2 + 2?,4,3,5,6,0,Mathematics,Arithmetic
253,What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,0,Astronomy,Planets
254,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
255,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,0,General Knowledge,Miscellaneous
256,What is the capital of Japan?,Tokyo,Beijing,Seoul,Bangkok,0,Geography,Capital Cities
257,What color is a banana?,Yellow,Red,Green,Blue,0,General Knowledge,Miscellaneous
258,How many continents are there?,7,5,6,8,0,General Knowledge,Miscellaneous
259,What is the largest mammal?,Blue Whale,Elephant,Giraffe,Hippopotamus,0,General Knowledge,Miscellaneous
260,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
261,Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1,Literature,Authors & Literature
262,What is the square root of 64?,8,6,10,12,1,Mathematics,Arithmetic
263,What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,1,Geography,Capital Cities
264,Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Stephen Hawking,Niels Bohr,1,General Knowledge,Miscellaneous
